西式/美式,義大利麵,ChIJM7TkUo-pQjQRjgS-tZAS4mo,堤香義大利麵,"從大學吃到現在的優質好店，麵條彈牙不死硬，調味配料都很新鮮美味；非常感謝老闆娘香香阿姨還特別有做吃素的餐點，最愛素食咖喱/奶汁菌菇、素食玻璃麵。

吃完麵後剩下的湯汁拿去沾剛烤好的吐司，一面有可口的調味搭配上另一面酥脆的口感，堪稱完美空盤就是對店家手藝最高的致敬

謝謝老闆娘和老闆堅持給客人最好的品質，來師大必吃的好店","堤香在泰順街的新民小學附近的巷內，算是價格親民的義大利麵店，麵量足夠吐司和紅茶自助式可自取，＄＄120～140左右。

若要省荷包又要吃得飽，可以。但美味度就不能太期待了，尚可而已。

用餐區有一樓及B1，但1樓較為舒適。內部裝潢有鄉村樸實風，簡單舒適",生意很好，麵量很大，個人覺得口味中規中矩，沒有特別讓人驚艷的地方。,"土司吃到飽，義大利麵水準尚可
吃飽絕對沒問題
口味就一般般","蒜香培根在同價位區間沒有對手
不要輕易加辣，小辣就是大辣..."
飲料/甜點,冰品,ChIJUdCXA4mpQjQRZPGRRpD3Id4,大安新生59(朝顏的部屋),不錯的冰品飲料店！,朝聖,健康的選擇,,
飲料/甜點,冰品,ChIJuaw9uIqpQjQR4ti8RP9PTro,綠屋冰城,"2020.08.02 = ★★★☆☆
推薦：芋頭、粉條、芋圓。
採自助式，一碗60元，料自己挑，自己挖，不要裝超過碗緣都可以。
適合學生，吃得很爽的冰店。但有些配料不新鮮。
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝

吃完【大聲公牛肉麵】，日頭赤豔的情況下，又想吃碗冰。google一下公館商圈，附近的冰店幾乎都吃過了。瞄到秀泰影城旁巷弄裡有一間【綠屋冰城】，居然有4.9分!! 造訪時，沒有價目表。老闆表示，自己挑料挑量吃到飽，只要不超過碗緣即可，完全就是吃到飽自助冰呀。 內用空間是小學用的桌椅，別有趣味；不過品質不佳，多半會搖晃。

自助式剉冰(60元) = 因為也不太餓，簡單挑了9種料來試試。 剉冰跟糖水都算是普通，冰粒比較偏粗大，糖水香氣不足。先說好的，粉條的部分口感非常Q嫩；芋頭口感綿密有甜，太讚了!!自己挖真爽；芋圓口感纏牙。紅豆、仙草、小薏仁普普通通。再來就是不好的，番薯圓口感可以，但是明顯有點酸味；湯圓味道也稍稍詭異點；粉圓脆脆，彼此黏在一起，口感不甚好。爽度是很高，但有點配料擺明品質不理想....整體口味3.5分。","老闆很親切讓人心情很愉快
冰的cp值超高
配料中尤其芋頭塊最讓人驚艷
沒吃過這麼Q的！
大家去要記得點
會再光顧","誰會相信在公館商圈
一杯手搖飲的錢
就能剉冰吃到飽
要什麼料 自己挖
不要超過盤平面就好
管你挖3樣還10樣
最愛蜜芋頭 蜜紅豆
香濃鬆軟又綿密
老闆煮功一流
特製鳳梨更是厲害
吃了會流淚想阿嬤
特製糖水香氣足
光吃清冰也很消暑
老闆大方歡迎大家續冰
不續對不起自己
季節限定芒果冰
百元有找
高CP 值的剉冰店
最適合揪朋友一起呷涼啦","今晚無意中發現此店~60元~在公館可以自己添料，果醬每樣加5元，又可以補一次冰(跟糖水)店家態度感覺就是朋友一樣，這樣會虧吧@@老闆
(加百香果醬又少收5元那位)",老闆超佛心 冰吃到飽 不怕你吃 料多不限種又好吃 讓你自己加到滿碗 大推！
飲料/甜點,冰品,ChIJv61btrmpQjQRCIQFTdbLQ38,墨潮青蛙撞奶,"味道跟以前陳三鼎一樣，濃濃的黑糖粉圓。
一杯40 元好喝又便宜。
到公館一定要買。","跟陳三鼎口味一樣好喝，後期陳三鼎的珍珠變硬了，現在的珍珠比較軟比較像早期的陳三鼎珍珠，好吃。
因為是黑糖珍珠所以偏甜，很正常。","典型的畫虎不成反類犬
最精髓的珍珠沒學到半點
跟陳三鼎完全不能比

而且招牌過很久才上
也用光泉牛奶 店內擺設 封膜機等都沒換
容易讓不知道的人誤會
不知道是不是想蹭陳三鼎的名氣",點了檸檬愛玉，飲料做好後發現忘了加糖，他的處理方法是拿個新杯子倒過去一半，再加糖加冰變成一杯，問題是因為沒有完全倒過去，所以檸檬汁很多都留在原本那杯（因為檸檬會沉在下面），導致我整杯喝起來幾乎沒檸檬味，超難喝。,"相信我 絕對有更好的選擇
這味道就跟之前模仿陳三鼎竄出的一堆店沒兩樣
跟正版的差可遠了"
飲料/甜點,冰品,ChIJyRzQjoWpQjQRDHBYXyxSVSs,古早茶坊,洛神花茶，酸甜適中，適合年輕妹妹,冬瓜仙草密好喝又消暑～推薦,青草茶很順口，不甜膩草藥味很濃很喜歡一試成主顧,逛完師大來一杯桂圓紅棗茶，健康又消暑！兒子點冬瓜仙草蜜，一直說好好吃又好好喝！是阿公親自熬煮，不是濃縮汁，喝完還會回甘,不論是茶飲、綠豆湯、薏仁湯等品項都十足用心呈現的店！這次品嘗的大碗薏仁湯，是以大、小薏仁混合熬煮一天半的薏仁湯。不僅湯的色澤晶透別緻，一口嘗下，除了大薏仁的口感，還可以嘗到小薏仁的軟糯質地，為其薏仁湯的層次添加許多亮點。實在的產品，要感謝實在的老闆！
飲料/甜點,冰品,ChIJmdQQdoupQjQRXbuKj3Ywky0,墾丁蛋蛋ㄉㄨㄞ奶,喝到一半會覺得嘴巴很澀 不知道是牛奶混合了他們的黑糖珍珠所導致的味還是。。。 偏甜所以久久喝一次尚可,"服務態度爛死 直接在我面前翻白眼
又沒要你重做 是在不耐煩什麼","黑糖粉圓夠Q又不會太甜,飲料均價40在台北算是親民",用福樂氮氧鮮奶製做，味道很好，已成排隊名店！,"每次來公館必喝
這次多點了綜合 感覺偏甜
不過很有嚼勁 招牌還是無失色 推薦"
飲料/甜點,冰品,ChIJU81LuSCpQjQR3gYkJkfD-8g,阿二冰茶,爆幹化學味，尤其西瓜汁味道像西瓜皮打的。,只能說好喝到爆，就是「鮮」,珍珠很Q，但奶茶甜了點喝久會膩,"難喝到爆
點無糖
卻甜成那樣你為什麼不乾脆去跟台糖搶生意
賣什麼飲料","服務人員態度不太好超沒耐心！
點了《去冰無糖》的青茶，
一喝發現是甜的去冰塊《有糖》青茶，
和服務人員反應，我點的是《去冰無糖》，
還特地再次提醒，
然後再送來一杯《有冰塊》無糖，
還沒喝先和服務人員提醒，
服務人員非常不耐煩的
背對我做去冰大動作非常不耐煩不爽樣，
（老實說我也不敢喝這杯了），

做錯我覺得沒關係調整就好，
但不需要這樣擺臉色和不耐煩，
我一開始就說去冰無糖，你們有問我，
我朋友也有聽到我們的對話和我的回答。
會點這杯飲料是因為點了旁邊的滷味，
不會再訪。"
飲料/甜點,冰品,ChIJnXwOZI6pQjQRAflopgjJ4YQ,六雪亭,平價好吃CP值高的咖哩飯和雪花冰 ，尤其推薦炸豬排咖哩飯，炸豬排超厚，吃起來很滿足。,"好吃的雪花冰
還有咖哩飯
老闆很好聊天喔",Cp值很高的咖哩飯和雪花冰，,老闆人超好，冰不錯，價格很親民
飲料/甜點,冰品,ChIJmVrVBoupQjQRbT6PhVBBGNc,鴉片粉圓,檸檬愛玉粉圓酸又真,沒有以前好吃了，粉圓沒煮透...,"普普 我國中的時候比較好吃
現在有點變了味",冰好吃，但常常客滿,很愛吃愛玉，推推
飲料/甜點,冰品,ChIJz-h4Q1GpQjQR6LHc8buGm28,五桐號Wootea 公館店,已經說了是招牌五桐拿鐵去冰加珍珠跟茶凍，過了超久才拿到結果沒有茶凍，工作人員淡淡的說：噢可能是我做錯了~然後他打開上面包裝的時候直接把手指插進飲料裡面，超噁心，旁邊同事提醒才幫我們重做一杯，結果重做的那杯沒有去冰...真的很無言，用點心上班很困難嗎？領死薪水也至少做做樣子吧！服務超爛，真的第一次讓我看到這麼爛到掉渣的服務態度，真的讓我對五桐茶印象大壞，希望未來的消費者不要遇到這樣的服務，也希望五桐茶能多進行職員訓練，持續進步！但對於你們的飲料品質還是很有信心的，茶跟茶凍很讚！,"想請這家店外送所以去聯絡了messenger 一開始回得很迅速 但臨時改了外送時間所以告知 卻已讀訊息 打了兩三通電話過去也一直沒有人接 還重新確認了營業時間再打但也還是不接...上一次想訂則是過了很久很久才讀訊息 電話也沒有接...
（但這次外送沒有遲到而且外送員態度很好）
但這次外送有個小小的疏漏 就是飲料送錯...
點了奶茶 標籤貼對了但是內容物錯了>","今天點了外送，結果奶霜是用封膜封口，要喝時很難撕，撕完會有透明的一層撕不起來，這就算了，裝袋時竟然是倒著放，奶霜都直接跟茶混在一起了，覺得沒喝到自己想喝的東西店員應該要知道這是不能倒放的吧。
ps:奶霜確實是因為倒放才混在一起的，因為其他正放的送來都好好的。

飲料是在塑膠袋裡就倒放的，難道貴店都是讓外送員司機自己裝袋?",想要電話外送，但是他的門檻要五公里內且滿600元才可以外送，在飲料外送門檻設太高，且訂購地點我們是在台大校園內，但卻要滿6杯且只能送到羅斯福路門口，我的感受這家飲料店姿態擺很高，會失去外送但金額不大的客源。往常訂飲料通常都是200~300內就可以外送，以此建議請參考，謝謝。,1星都不想給 ！ 已第二次了這樣了！ 也沒再有下次..瞎爆 生意好就能這樣嗎？ 上次事先預訂 約好時間 ~~遲到 ~~外送小哥頻說抱歉說忙 我也就信了  這次再預訂 而且提前2天跟你們說  結果約好時間  你們沒送  我親自跑去貴店看 你們櫃台人員在聊天 而且我的訂單都還沒做  非常差勁
飲料/甜點,冰品,ChIJQdaEkUypQjQReJPpCdabjD0,大學口林老杯,用料實在，今天點「綠豆牛奶冰沙」價位50元跟很多連鎖店一樣，但風味較佳！推薦～現打的不是預先製成直接裝的那樣，等待時也細看了一下其他產品，感覺有用心、有自己的特色！真的是值得推薦、品嚐！,3Q撞奶好喝順口，極推啊！裡面包含了仙草、珍珠和綠豆，三者表現都很亮眼，仙草是嫩仙草，軟嫩化口，而珍珠非常非常Q，咀嚼時散發出濃郁不甜膩的黑糖香，整體喝起來甜度剛剛好，不會覺得甜膩澀喉，很喜歡。,"喝仙草奶
稍小杯
牛奶不錯",招牌很精緻，用料實在， 這一家採用美國進口科克蘭鮮奶 ，是鮮奶不是牛奶， 牛奶就是還原乳， 真是佛心來著,好喝！
飲料/甜點,飲料,ChIJI1lDqY-pQjQR3GW0V3-gTPc,龍角手作茶師大店-師大必喝飲料|外送飲料|飲料推薦|台電大樓附近美食|夜市飲料推薦|打卡美食,"昨天晚上吃完一頓開心的晚餐後 想來喝杯飲料 搜尋結果網路上很推的店家 沒想到令人蠻失望的
很多人推薦鐵觀音烤奶 店家本身又有回覆如果要茶味重可以點鐵觀音鮮奶茶 於是點了後者 個人觀感是覺得茶味的確是比奶味重 但還是很淡
我老婆點的飲料本身普通 但珍珠還不錯

但最扣分的還是服務態度 我跟我老婆跟點餐人員至少說了六次謝謝 對方一次都沒有回 然後我們分開兩次點餐也有先打招呼說你好 對方沒主動招呼也沒任何回應 點完餐後一位做飲料一位馬上開始滑手機
兩位店員自己就會有說有笑 不知道為何給客人就一副冷冰冰不想理你的樣子

我老婆也有跟我反應 因為店裡音樂放比較大聲 店員戴口罩講話聲音又很小 因此在詢問飲料時店員的回應都聽不太清楚 請對方重新說明對方感覺就是不太耐煩的樣子
本身自己也是做服務業 因此對服務業種種也多能體諒 不太清楚為何我們是打烊前一個小時九點多去 店員的態度好像我們壓底線進來一樣很不想理人
我們對服務態度沒有特別要求 只希望有正常互動即可
希望店家能改善","最近時不時再去買，店員態度明顯冷淡。牛奶喝起來偏淡，好像水比例比較多，體感跟價格不成比例。希望之後杯子外面可以擦乾淨不要黏到飲料提袋。茶味香，整體而言尚可接受。

(一年前左右的評論)
店內有少量座位。小芋圓奶茶要等久一點不過很好喝！","中午熱天突然想來杯飲料
眼前這家龍角感覺很不錯
不過我超級猶豫到底要喝…
橙柚青還是要鐵觀音烤奶
差點忘記自己已經是大人
那我就豪不客氣兩種都要！
橙柚青無法調整冰度甜度
至少鐵觀音烤奶去冰微糖
橙柚青酸度甜度濃度超棒
明明才右轉過個路口而已
左手這杯飲料瞬間被榨乾
鐵觀音烤奶也令我超驚艷
不論是鐵度還烤度再加上
鼻咽喉揮之不去的烘焙感
直到晚上十點還是忘不了
特別的茶飲讓我無法忘懷
右手這杯鐵觀音烤奶超絕
明明過兩路口飲料就空了
於是我又回去了一趟龍角
好喝的程度讓我流連忘返！","今天下午訂龍角外送送錯飲料
原本想說算了他們店離我們公司超遠很不方便
但是他們後來還是補送飲料過來
真的好感人
我的禮拜五因此而完整
Btw 奶茶跟芋圓真的好好吃",第一次去寶寶奶茶已經賣完，點了Hershey巧克力咬珍珠，巧克力很濃郁。再訪時終於喝到寶寶奶茶+巧克力粉+珍珠，奶茶有股國寶茶的茶香，配上Q彈的珍珠很好喝
飲料/甜點,飲料,ChIJPQpyvYupQjQR_RhYmpFQnmM,波囍,看推文說茶類濃醇香才買了老派紅茶...  結果根本就是淡淡紅茶味的白開水...  喝不到一半就丟垃圾桶了...,不喜歡，蜂蜜綠茶跟別家飲料比起來整體味道淡很多，連個蜂蜜味都沒有，不好喝。老派紅茶的味道也不優！2次去都是男店員，他們調的飲料不好喝。味道不符合自己,"飲料很好喝 但服務很傻眼 所以只給3顆星
10/11前往購買的時候
點了鐵觀音珍珠歐蕾
付了錢店員後來卻直接離開
等了五分鐘告知其他店員才發現根本沒點到
還好後續也沒有發生什麼問題","心目中公館前幾名的飲料店
小店經營，茶湯品質和新鮮度都很有水準
部分熱門品項極易售罄",第一次到此店光顧，點了冬瓜檸檬與冬瓜鐵觀音，覺得冬瓜超讚！不死甜！檸檬也不會超酸，整體評價很好，茶味香氣十足，身為中壢人實在還會想再回店裡光顧！超好喝！
飲料/甜點,飲料,ChIJq6qqqoupQjQRYbGXSz3WNEc,九品川,少見飲料店商品都均一價，一般有鮮乳坊和加點錢的初鹿牧場的牛奶可選，完全沒有稀釋過的味道，這杯紅豆薏仁料也很實在，有吃點心的感覺...來公館附近不喝到膩的連鎖店，來這試試吧。,"很推的飲料店
大杯均$55
有鮮奶茶也有很多不同類型的飲料
也有販售鮮奶、奶酪、優格",原料超純(牛奶是初鹿耶），高CP值，推！,大杯55元 加珍珠不用錢但覺得珍珠不太好吃很硬 不推薦加 紅玉鮮奶茶中規中矩 焦糖鮮奶茶滿不錯的 很有焦糖香氣,飲料品質滿穩定的，但人手明顯不足等待時間稍長
飲料/甜點,飲料,ChIJrcW9oiCqQjQRGDUC1R2jDCg,原典鮮沏茶,服務態度極差。這種店不應該繼續存在校園中。,"茶好喝
不收鈔票",服務員的態度很差，真夠爛，大學有很多不同國籍的學生，客人不了解或不懂的，不單沒耐心說明，還在客人面前說客人壞話，沒禮貌的女店員。,"台大最愛的飲料店
自備環保杯折抵2元喔！","這家東西不錯
善意提醒：隔壁咖啡超難喝"
飲料/甜點,飲料,ChIJHRt5OcmpQjQRjVunmP30itI,四口木鮮果飲師大總店:果汁，切盤，網友推薦,"賣水果的男店員服務態度還不錯，
但
女店員的態度也太差了吧！
明明是男店員幫我點 中間就跑到哪裡去 連錢都還沒收
後面客人就插隊 我根本沒辦法繼續點
等到她發現我還沒點好就翻白眼
這經驗不愉快：）",女店員服務態度超爛，完全沒有耐心。消費還是受氣? 免費請你吃一顆星。,果汁不錯喝，價格也ok。店家整齊乾淨沒有那種果皮味，個人很喜歡，不過現切水果高貴了些但確沒有特別令人驚艷,"師大附近最好喝的飲料店
果汁新鮮
很多創新口味，也會隨著季節有新的變化
是非常用心的店家！

鹹水雞 的蔬菜選擇很多 也很新鮮",服務態度超差，點餐時女店員就擺一張臭臉。
飲料/甜點,飲料,ChIJL2Nx_oupQjQRlWJhhBrhDvE,樂法Le Phare 羅斯福店,短髮店員態度很差，還好飲料品質沒變。,剛買飲料店員態度很差2020/11/13 3:06,家裡附近最好喝的飲料店~~無糖伯爵紅加2倍珍珠超棒~~,"蘋果芭樂綠茶超級淡像在喝水
但是 水 還比較好喝。",店員態度很棒，非常喜歡來這邊消費
飲料/甜點,飲料,ChIJCahvDoupQjQRFbdDBRrHOsY,COMEBUY_台北公館店,有夠爛 馬的站在那邊5分鐘被半個服務員 不知道跑哪去了 之後才看到店員從對象跑過來 不知道在做什麼生意上什麼班,料沒煮熟，好好一杯飲料喝到很都蘭,"真的覺得很誇張  排隊客人只有兩個
我點了紅茶  我在跟我的女兒說話
他拿了別人的蘋果紅茶給我
今天店員本該記得客戶點的東西
我打開給女兒喝了一口 他馬上說他給錯
給錯 要拿回去  盡然都給錯了 就直接給我們就好 自己搞錯飲料  後面我原點的紅茶沒味道 剛剛那杯蘋果紅茶倒掉了嗎 他說還沒 我說那你那杯直接給我 他自己做錯飲料還要我們補差價  一種感覺的問題 臉臭到一個無可救藥  什麼店家阿？？",芋圓超級硬沒碰過這麼難吃的芋圓其他分店都不會這樣,連鎖店差不多這種飲料，不過開在紅線邊，會很難吸引馬路上的車來買！20331
飲料/甜點,飲料,ChIJU81LuSCpQjQR3gYkJkfD-8g,阿二冰茶,爆幹化學味，尤其西瓜汁味道像西瓜皮打的。,只能說好喝到爆，就是「鮮」,珍珠很Q，但奶茶甜了點喝久會膩,"難喝到爆
點無糖
卻甜成那樣你為什麼不乾脆去跟台糖搶生意
賣什麼飲料","服務人員態度不太好超沒耐心！
點了《去冰無糖》的青茶，
一喝發現是甜的去冰塊《有糖》青茶，
和服務人員反應，我點的是《去冰無糖》，
還特地再次提醒，
然後再送來一杯《有冰塊》無糖，
還沒喝先和服務人員提醒，
服務人員非常不耐煩的
背對我做去冰大動作非常不耐煩不爽樣，
（老實說我也不敢喝這杯了），

做錯我覺得沒關係調整就好，
但不需要這樣擺臉色和不耐煩，
我一開始就說去冰無糖，你們有問我，
我朋友也有聽到我們的對話和我的回答。
會點這杯飲料是因為點了旁邊的滷味，
不會再訪。"
飲料/甜點,飲料,ChIJSS8omoupQjQR7w9gCacg0EY,茶湯會 台北公館店 (台大),是在哈囉，剛剛點了熊貓外送，紅茶+波霸要多10元，阿結果給我細的吸管？？這就算了阿我點完全去冰（它有去冰、完全去冰、熱），阿做了一個根本是微冰是？？上班要認真一點吧,今天在foodpanda點一杯翡翠拿鐵，但覺得味道跟以前喝的不同，茶超澀超苦,"9/26，下午五點多分的熊貓外送兩杯
來時發票全溼跟破掉，打去本店詢問，當下處理的人直接說熊貓的錯還很強硬（男）
然道發票不是你放在上面給他的嗎
在硬說一堆廢話推責
已經找方法投訴總公司
請此間店員有責任一點，發票是你們開出的",點了一杯東瓜檸檬，結果做成冬瓜茶，把東西拿回去告知店員，小姐的服務態度超差的，結果換了一杯四不像的冬瓜檸檬（超酸的），下次再也不去買了,服務態度真的不怎麼佳，店員聊天有點大聲，給人的觀感真的不太好，飲料也不怎麼好喝QQ
飲料/甜點,飲料,ChIJS9Pk5m-pQjQRDIfh2Zw9AXQ,打勾勾-厚起士飲品專賣店,喝來過於膩口,"之前喝過紫薯學長 覺得還不錯！
這次嚐試了新品草莓口味
微糖的甜度剛剛好 奶蓋一如往常非常濃厚
草莓冰沙也好好喝
大推！",起司奶蓋不錯，碧螺春本體普通，混合起來也普通；裝潢很文青，店面只有一個工作人員，要接電話要點餐還要做飲料有點忙碌。下次會想試試別的口味。,"起司比起其他飲料店味道算不錯
紫薯學長很特別而且不錯喝
厚起司碧螺春好喝
想喝奶蓋系列可以嘗試
但有幾次去店員愛理不理",綿密的起司奶蓋搭配紫薯牛奶，非常順口，從店裡一直喝到宿舍！好喝！
飲料/甜點,飲料,ChIJp1wkXi-pQjQRfu3yyNjKXew,日日裝茶公館台大店,第一次來消費20201204喜歡咬珍珠，這家讓我感受到值得再來，來回兩次點兩次期待下次來珍珠不要跟營業時間久的店家一樣品質落差相對一開始營業的感覺一大半....祝福興隆,"好茶會再訪！

謝謝店長~
讓我可以更換醇奶茶為鮮奶","推薦鐵觀音拿鐵 +珍珠(很Q很好吃，不會過甜)
配料芝麻奶酪也不錯 很搭茶香 口感佳
店員態度好!!",飲料不錯喝，價格算中間偏貴，學生有有九折。,喝過不同分店煮的虎糖珍珠，覺得台大這家煮的最好吃！珍珠吃的到蔗糖焦香味，又很Q，店員也滿親切的～讚喔！
飲料/甜點,飲料,ChIJ682G7NSpQjQRjfzSzU5IU_k,可不可熟成紅茶-台北師大店,喝茶總比喝牛肉湯好，不過糖不要太多～嘻嘻,"11/5 晚上五點多買了一杯春芽冷露 微冰無糖
完全沒有綠茶或冬瓜的味道
就是一杯很冰的水：）","我想請問一下 我明明有加珍珠也付了錢
帶走後沒珍珠是三小？",進來看評論才知道果然大家在這家店買過的感覺都很差欸！可不可的所有分店都可以茶味淡只有他們說他們不行！上次還說因為他們是加盟店...所以愛怎麼賣就怎麼賣的意思嗎？好扯！不曉得總公司知不知道呢？子秦小姐...,看到有人說大家買過感覺很差？怎麼我每次買都覺得店家態度良好，飲料也好喝啊！每家店都有自己的sop吧 把人家女店員名字打出來會不會有點過分了？大推春芽綠茶！香氣十足，濃而不澀
飲料/甜點,飲料,ChIJbZeY7umpQjQRDEttWoi3NVo,老茶人師大店,很認真用心在茶的品質上，除了茶品外厚奶嫩仙草也超好喝，沒有特別愛仙草的我喝了直接愛上，大推！,可以使用line pay，刷載具。紅玉台茶18號微糖去冰不會澀，口感還不錯。,活動爛透了，原本約定好1500送件，也確認LINE訂購買一送一，1430突然傳訊說我的地址要滿600才外送，而且買一送一要現場購買才有，這樣的行銷活動不如不要辦,"烏龍茶香氣醇厚，口感溫順～
紅玉紅茶無糖不澀，入喉回甘～
環保杯折5元，支持無塑生活","青茶＋仙草（少冰微糖，＄50）
仙草超澎湃~~青茶非常不甜，害我以為是不是沒加糖，但是有新鮮茶葉的甘苦香，但不會澀，應該是加糖了還是有提味作用。
仙草真的超好吃，不會結塊口感的那種，有仙草回甘的香味，不會死甜或者沒味道好像在吃果凍。
整體上喝起來感覺無負擔~~
店家支援linepay~~
下次再來試其他品項囉~"
飲料/甜點,飲料,ChIJmdQQdoupQjQRXbuKj3Ywky0,墾丁蛋蛋ㄉㄨㄞ奶,喝到一半會覺得嘴巴很澀 不知道是牛奶混合了他們的黑糖珍珠所導致的味還是。。。 偏甜所以久久喝一次尚可,"服務態度爛死 直接在我面前翻白眼
又沒要你重做 是在不耐煩什麼","黑糖粉圓夠Q又不會太甜,飲料均價40在台北算是親民",用福樂氮氧鮮奶製做，味道很好，已成排隊名店！,"每次來公館必喝
這次多點了綜合 感覺偏甜
不過很有嚼勁 招牌還是無失色 推薦"
飲料/甜點,飲料,ChIJ39xxFqOpQjQRrQuexo65duU,迷客夏milkshop 臺北師大店,假日訂購多杯飲料領取員工態度不佳，好像老闆沒照顧好，客人又太多忙不過來在那兇客人，此店家盡量不要訂,"眉上瀏海實習生店員好可愛！д 眼睛會笑 聲音好甜 也好有禮貌！好有活力！看到妳真是讓我上班充滿了力量 希望以後去買也可以遇到妳唷()
（伯爵紅茶拿鐵好喝讚讚）",點了珍珠鮮奶 貼紙上最後出來的是紅茶拿鐵但喝起來卻只有紅茶,"身為冰萃檸檬忠實粉絲
喝過台北地區各家迷客夏冰萃檸檬
師大店真的讓我大開眼界
超扯爆難喝！！
超扯爆難喝！！
是酸酸的水？？？？
真的太驚人 太震驚 太不可思議了","點了兩杯 兩杯封口都沒封好都流出來
態度也很差不知道兇什麼意思"
飲料/甜點,飲料,ChIJQVWymYupQjQR9l0jcfyF15I,巴伯Q奶Bubble tea黑糖珍珠牛奶專賣店,黑糖給太少，一點點，整杯都牛奶味多，黑糖不夠香不夠純。服務態度差，臉沒笑容。可能是因為只買一杯吧！,很喜歡！附近的陳三鼎多是觀光客（現已結束營業），但我都喝這家，從唸書時就在喝了，好喝，買杯珍珠綠豆鮮奶回味～,"天啊珍珠好好吃哦
很怕黑糖珍珠會太甜 結果甜度剛剛好
完美",剛買一杯好喝到要馬上來給五星,"點了珍珠鮮奶去冰 女店員一直說天氣很熱珍珠很燙要加冰塊 都說生理期不想加 還是逼我加 說加一點點結果半杯都是冰塊 重點是加一堆冰塊 還沒裝滿... 無言 害怕加鮮奶給客人 那你真的可以不要賣珍珠鮮奶～
牛奶超稀～ 根本沒味道"
飲料/甜點,飲料,ChIJQYTfqBOpQjQRKNiCxhUtQAs,友町冰品,"點了芋頭西米露，但芋頭不是鬆軟的那種品種，口感比較紮實的，因為本身喜歡鬆軟的大甲芋頭，入口即化的那種，這種紮實的芋頭沒有太合我口味!
西米露就是跟其他甜品店差不多，沒有驚艷的地方!
這家偏甜，份量也不多，在快要吃膩時就吃完了，以這個份量這個價位，覺得蠻貴的!
但用餐環境是乾淨的就是了!","芋頭黑糯米$85
小貴 但也不到難吃
本身飲料都喝無糖或微糖的我覺得偏甜
外帶回家吃有再加牛奶調配 口味較適合我
甜品內的芋頭屬於中型塊狀 有3-4塊左右
外帶看似小碗 但其實一個人吃蠻飽的！",冰太多煉奶有夠少~像在吃清冰~明明我點的是紅豆湯圓牛奶冰~,170元的抹茶冰  Cp值不符價位，湯圓也只有3顆，抹茶凍軟軟的不好吃 紅豆太軟爛又死甜  抹茶很淡像綠茶 整體太甜膩 不順口,"味道普通但偏貴的店
推芋頭！其他都還好"
飲料/甜點,飲料,ChIJrcwNhoWpQjQReWlu-uSuGZE,茶 師大店,"一定要來留個言！！
飲料好喝不貴，學生證有打折，生意很好，但人手有點不夠，大家要乖乖等喔～

告白一下男店員超親切又很帥",良心飲料店，cp值超高，便宜又不失品質，口味搭配也很多，師大夜市中最愛的飲料店,紅茶拿鐵微糖微冰，茶夠香跟牛奶的比例也恰到好處，加上帥哥店員超級親切，很推！,店員動作超慢，三杯飲料要等15分鐘==,"在小巷子裡面的茶店
學生有打折！跟朋友一起來就有了折扣
無糖金萱很好喝，茶味適中不會太澀
店員很親切可愛蠻好聊天的
下次可以試試看其他飲品"
飲料/甜點,飲料,ChIJrbuKz0upQjQR0VqDFHphxTA,老賴茶棧台北公館店,"12/3中午 濕冷 沒有人 點一分糖做成全糖 非常甜 導致沒辦法喝
12/8更新 之前聯絡店家 態度很好 告知之後過去會補一杯新的",古早味紅茶可以調整甜度還不錯，但是做完的杯身沒擦過，手碰到濕濕的茶又再拿回去請店家幫擦一下。,"這家超好喝！
料好實在，茶底渾厚，最重要的是價格不貴及老闆客氣又親切！大推！","豆香紅茶
好喝不膩
難得的是喝的出那古早的豆香味
味道跟永和世界豆漿一樣
有焦味","冬瓜奶茶—不能調甜度，超爆炸甜
養生胚芽—很怪欸？一粒一粒卡喉嚨，好奇怪

沒有喝完，無法喝完丟掉的那種"
飲料/甜點,飲料,ChIJEat10q-pQjQRrji2jzlzzQE,麻古茶坊台北公館店,"芝芝葡萄是冰沙沒錯 但喝完還剩1/3杯大冰塊
價錢貴但不符合美味程度","今天第一次喝
原本要點楊枝甘露
但店員說賣完了
她推薦可以試試新品「芝芝葡萄果粒」
單從視覺上看
略帶粉紫還挺美的
但口感個人不愛
而且葡萄還有發酵爛掉味道
完全讓我不想再喝第二次",2020 10 15點了朋友推的芝芝葡萄，好貴一杯要95，最上層是奶蓋中層是葡萄冰沙下層是葡萄汁及果肉，沒拌開時喝奶蓋跟葡萄汁感覺互相衝突有點突兀，拌開後連冰沙一起吃有點層次跟果然還可以，這個價格跟這味道cp值普通，是季節限定好像，楊枝甘露也過了季節,五分甜的波霸紅茶拿鐵，還不錯。茶味濃。,"楊枝甘露跟芝芝芒果可以不要再加茶凍了嗎？？
超不搭，結果芝芝芒果的口感喝起來比楊枝甘露還像楊枝甘露"
